epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,464.391,2.79309,5.59998,2.09079,0.01185,0.86446,0.02605,0.01844,1.08369,3.1822,1.06056,0.00332952,0.00332952,0.00332952
2,834.901,1.07015,2.81448,1.00454,0.42019,0.63754,0.50528,0.40383,0.7391,1.74398,0.92605,0.00662988,0.00662988,0.00662988
3,1281.55,0.9132,1.55425,0.94604,0.8567,0.88606,0.9323,0.77633,0.64882,0.73664,0.89302,0.00989723,0.00989723,0.00989723
4,1625.3,0.78229,0.87819,0.90916,0.9471,0.95076,0.97582,0.82069,0.63409,0.48047,0.88353,0.0098515,0.0098515,0.0098515
5,2084.23,0.69033,0.63401,0.88554,0.97368,0.97675,0.98158,0.85753,0.5387,0.35691,0.86108,0.009802,0.009802,0.009802
6,2434.17,0.64162,0.53471,0.87259,0.98127,0.98121,0.98249,0.87694,0.48145,0.30927,0.84847,0.0097525,0.0097525,0.0097525
7,2882.27,0.61087,0.48077,0.86609,0.98453,0.98571,0.98435,0.87814,0.48667,0.2847,0.84624,0.009703,0.009703,0.009703
8,3231.84,0.58673,0.44548,0.85991,0.98525,0.98652,0.98473,0.88837,0.46004,0.2654,0.83933,0.0096535,0.0096535,0.0096535
9,3679.92,0.56675,0.42072,0.85509,0.98675,0.98736,0.98473,0.89156,0.45198,0.2525,0.83654,0.009604,0.009604,0.009604
10,4024.51,0.55259,0.40184,0.85175,0.98704,0.98786,0.98486,0.90317,0.41813,0.23691,0.83026,0.0095545,0.0095545,0.0095545
11,4480.96,0.53941,0.38816,0.84895,0.98719,0.98828,0.98567,0.90821,0.40805,0.22927,0.82713,0.009505,0.009505,0.009505
12,4824.51,0.52897,0.37568,0.8461,0.98721,0.98829,0.98607,0.91095,0.40278,0.22369,0.82509,0.0094555,0.0094555,0.0094555
13,5345.59,0.51837,0.36698,0.84339,0.98713,0.98857,0.98633,0.91455,0.39389,0.21855,0.82227,0.009406,0.009406,0.009406
14,5695.26,0.51024,0.35763,0.84193,0.98698,0.98857,0.98665,0.91906,0.38262,0.21283,0.82084,0.0093565,0.0093565,0.0093565
15,6150.28,0.50171,0.35009,0.83876,0.98729,0.98831,0.98694,0.92132,0.37581,0.20975,0.81888,0.009307,0.009307,0.009307
16,6497.37,0.4968,0.34471,0.83762,0.9874,0.98847,0.98734,0.92437,0.37062,0.20725,0.81693,0.0092575,0.0092575,0.0092575
17,6997.61,0.49025,0.34052,0.83549,0.98746,0.98839,0.98742,0.92666,0.36543,0.20482,0.81546,0.009208,0.009208,0.009208
18,7345.02,0.48603,0.33711,0.8345,0.98775,0.98856,0.9877,0.92875,0.3617,0.20272,0.81431,0.0091585,0.0091585,0.0091585
19,7801.31,0.48061,0.33251,0.83376,0.98805,0.98832,0.9879,0.92995,0.35881,0.2011,0.81342,0.009109,0.009109,0.009109
20,8148.95,0.47538,0.32827,0.83186,0.9882,0.98827,0.98818,0.93127,0.35652,0.19982,0.81267,0.0090595,0.0090595,0.0090595
21,8602,0.47175,0.32404,0.83119,0.98802,0.98856,0.98845,0.93269,0.35404,0.19858,0.8119,0.00901,0.00901,0.00901
22,8949.97,0.46881,0.32055,0.83085,0.988,0.98868,0.98859,0.93364,0.35218,0.19748,0.8113,0.0089605,0.0089605,0.0089605
23,9393.25,0.46573,0.31976,0.82944,0.98798,0.98872,0.9887,0.93477,0.34991,0.19644,0.81066,0.008911,0.008911,0.008911
24,9739.75,0.46168,0.31645,0.82841,0.98818,0.98878,0.98887,0.93559,0.34832,0.19571,0.81012,0.0088615,0.0088615,0.0088615
25,10198.1,0.45816,0.31328,0.82659,0.988,0.98878,0.98892,0.93643,0.3468,0.19503,0.8096,0.008812,0.008812,0.008812
26,10545.4,0.45572,0.31136,0.82635,0.98811,0.98886,0.98908,0.93705,0.34529,0.19428,0.80909,0.0087625,0.0087625,0.0087625
27,11006,0.45322,0.31088,0.82545,0.98819,0.98904,0.98924,0.93805,0.34316,0.19349,0.80848,0.008713,0.008713,0.008713
28,11352.2,0.44954,0.30719,0.82359,0.98818,0.98917,0.98936,0.93898,0.34098,0.19274,0.80789,0.0086635,0.0086635,0.0086635
29,11874.5,0.44733,0.30561,0.82353,0.98811,0.98922,0.98944,0.9397,0.33972,0.19221,0.80755,0.008614,0.008614,0.008614
30,12224.1,0.44499,0.30317,0.82263,0.98809,0.98928,0.98959,0.94002,0.33862,0.19171,0.80703,0.0085645,0.0085645,0.0085645
