epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3505,5.88274,9.41032,4.05999,0,0,0,0,6.41771,5.60375,4.11104,5.52213e-05,5.52213e-05,5.52213e-05
2,51.5184,3.93428,6.83481,3.02993,0.00024,0.04692,0.00017,5e-05,3.08018,4.88225,2.55748,0.000108692,0.000108692,0.000108692
3,77.5954,3.11595,5.75339,2.31405,0.00367,0.24382,0.00328,0.00112,2.5014,4.3418,2.0841,0.000159959,0.000159959,0.000159959
4,102.732,2.41936,4.80794,1.81374,0.00728,0.48441,0.00944,0.0043,1.87324,3.83187,1.60095,0.00015708,0.00015708,0.00015708
5,129.204,1.96448,4.21081,1.4902,0.01014,0.73773,0.0168,0.01003,1.53811,3.40945,1.3339,0.000153774,0.000153774,0.000153774
6,155.77,1.69641,3.8845,1.33293,0.01066,0.81307,0.0215,0.01432,1.26549,3.27966,1.19031,0.000150467,0.000150467,0.000150467
7,181.689,1.52093,3.66785,1.2349,0.01195,0.90203,0.03056,0.02095,1.15642,3.12127,1.13731,0.00014716,0.00014716,0.00014716
8,207.174,1.40978,3.49798,1.1747,0.03388,0.19237,0.04022,0.02846,1.07094,2.93876,1.0808,0.000143854,0.000143854,0.000143854
9,232.936,1.33927,3.37683,1.13419,0.03619,0.5221,0.05119,0.03613,1.01124,2.92123,1.05654,0.000140547,0.000140547,0.000140547
10,258.372,1.28439,3.2534,1.1085,0.09114,0.12326,0.07087,0.05153,0.97561,2.73997,1.03309,0.000137241,0.000137241,0.000137241
11,283.701,1.23277,3.13537,1.08498,0.12618,0.17573,0.0912,0.0675,0.9383,2.64158,1.01836,0.000133934,0.000133934,0.000133934
12,309.525,1.20924,3.04178,1.07652,0.10123,0.21391,0.1112,0.0805,0.9659,2.56682,1.01697,0.000130627,0.000130627,0.000130627
13,335.446,1.1805,2.94586,1.06318,0.10158,0.28741,0.12652,0.09491,0.88717,2.54267,0.9967,0.000127321,0.000127321,0.000127321
14,361.158,1.15551,2.85698,1.05053,0.1274,0.30671,0.15185,0.1139,0.89228,2.44108,0.99809,0.000124014,0.000124014,0.000124014
15,386.83,1.12996,2.77488,1.0386,0.15353,0.29561,0.1915,0.14403,0.88355,2.3046,0.99237,0.000120708,0.000120708,0.000120708
16,411.698,1.11723,2.6882,1.03479,0.18314,0.35251,0.2115,0.16245,0.84396,2.22293,0.98099,0.000117401,0.000117401,0.000117401
17,436.533,1.09604,2.61366,1.02846,0.18934,0.40316,0.24324,0.18556,0.86675,2.13104,0.97795,0.000114094,0.000114094,0.000114094
18,461.375,1.07595,2.54757,1.01705,0.20742,0.46389,0.26562,0.20528,0.83059,2.08314,0.96851,0.000110788,0.000110788,0.000110788
19,486.666,1.06525,2.49549,1.00905,0.24753,0.418,0.28911,0.22608,0.82703,2.05102,0.97028,0.000107481,0.000107481,0.000107481
20,511.483,1.04968,2.43035,1.00497,0.26978,0.45089,0.31139,0.24001,0.83471,1.98289,0.97063,0.000104175,0.000104175,0.000104175
21,536.412,1.04235,2.37716,1.00294,0.27056,0.45369,0.32006,0.24883,0.80181,1.9355,0.95974,0.000100868,0.000100868,0.000100868
22,561.193,1.03196,2.33202,1.00152,0.3148,0.50192,0.36628,0.28592,0.81693,1.85019,0.96041,9.75614e-05,9.75614e-05,9.75614e-05
23,585.955,1.01775,2.2811,0.99915,0.3274,0.49461,0.37821,0.29708,0.80686,1.81911,0.96238,9.42548e-05,9.42548e-05,9.42548e-05
24,611.542,1.0172,2.24338,0.99696,0.35203,0.50956,0.41466,0.3277,0.79864,1.75617,0.95545,9.09482e-05,9.09482e-05,9.09482e-05
25,636.217,0.9979,2.19483,0.98926,0.36031,0.53912,0.42295,0.32987,0.81802,1.76057,0.95983,8.76416e-05,8.76416e-05,8.76416e-05
26,660.943,0.99653,2.16127,0.987,0.3654,0.52089,0.42396,0.33462,0.79319,1.74979,0.955,8.4335e-05,8.4335e-05,8.4335e-05
27,685.663,0.98362,2.10914,0.9893,0.41535,0.5338,0.4782,0.38251,0.76838,1.64293,0.94502,8.10284e-05,8.10284e-05,8.10284e-05
28,710.294,0.98812,2.07499,0.98237,0.42357,0.52384,0.48428,0.38649,0.76798,1.63272,0.95107,7.77218e-05,7.77218e-05,7.77218e-05
29,734.9,0.97371,2.0306,0.98105,0.42885,0.55208,0.50748,0.40625,0.76055,1.58754,0.94454,7.44152e-05,7.44152e-05,7.44152e-05
30,759.551,0.97401,2.00379,0.98087,0.44712,0.56085,0.52099,0.41775,0.76275,1.57551,0.94583,7.11086e-05,7.11086e-05,7.11086e-05
31,784.13,0.96516,1.9562,0.97804,0.47116,0.57443,0.54201,0.43307,0.77761,1.53204,0.94276,6.7802e-05,6.7802e-05,6.7802e-05
32,808.636,0.96894,1.93168,0.97641,0.47696,0.59549,0.55624,0.45078,0.74837,1.4994,0.9388,6.44954e-05,6.44954e-05,6.44954e-05
33,833.014,0.9586,1.90534,0.97367,0.48655,0.58003,0.56511,0.4575,0.74445,1.49445,0.93885,6.11888e-05,6.11888e-05,6.11888e-05
34,857.373,0.94798,1.87453,0.96766,0.51496,0.59893,0.59074,0.47781,0.74696,1.4456,0.93933,5.78822e-05,5.78822e-05,5.78822e-05
35,882.523,0.94199,1.84602,0.96669,0.52545,0.61108,0.60574,0.49136,0.73879,1.41648,0.93713,5.45756e-05,5.45756e-05,5.45756e-05
36,907.625,0.93505,1.81211,0.97147,0.56065,0.61023,0.63322,0.51195,0.75103,1.35092,0.93902,5.1269e-05,5.1269e-05,5.1269e-05
37,932.223,0.93292,1.80119,0.96906,0.53453,0.58965,0.60738,0.49157,0.74463,1.39804,0.94021,4.79624e-05,4.79624e-05,4.79624e-05
38,957.073,0.92455,1.77602,0.96424,0.57918,0.63292,0.6505,0.52772,0.74144,1.3158,0.93635,4.46558e-05,4.46558e-05,4.46558e-05
39,982.221,0.92711,1.75501,0.96779,0.5828,0.63255,0.65552,0.53556,0.73162,1.33251,0.93492,4.13492e-05,4.13492e-05,4.13492e-05
40,1006.62,0.92019,1.7447,0.96402,0.57899,0.61857,0.64966,0.52921,0.73084,1.32682,0.93398,3.80426e-05,3.80426e-05,3.80426e-05
41,1052.43,0.844,1.58456,0.97361,0.61505,0.65413,0.68735,0.5583,0.73878,1.25036,0.93258,3.4736e-05,3.4736e-05,3.4736e-05
42,1076.18,0.83388,1.54826,0.96814,0.63707,0.65538,0.69813,0.56778,0.73882,1.23242,0.93095,3.14294e-05,3.14294e-05,3.14294e-05
43,1099.98,0.82874,1.53226,0.9711,0.61698,0.66709,0.70503,0.57645,0.7239,1.21952,0.92788,2.81228e-05,2.81228e-05,2.81228e-05
44,1123.7,0.82482,1.50784,0.96591,0.65727,0.66436,0.7111,0.58193,0.72318,1.19806,0.93031,2.48162e-05,2.48162e-05,2.48162e-05
45,1147.37,0.81745,1.49352,0.96348,0.64416,0.66918,0.71537,0.58635,0.71698,1.19948,0.92823,2.15096e-05,2.15096e-05,2.15096e-05
46,1171.08,0.81475,1.47114,0.96013,0.6588,0.67571,0.72538,0.59311,0.72459,1.16787,0.92763,1.8203e-05,1.8203e-05,1.8203e-05
47,1194.74,0.81347,1.45936,0.96215,0.67146,0.67607,0.73143,0.60127,0.71389,1.16112,0.92621,1.48964e-05,1.48964e-05,1.48964e-05
48,1218.49,0.80991,1.46153,0.96317,0.67776,0.67739,0.73713,0.60246,0.72557,1.14911,0.92796,1.15898e-05,1.15898e-05,1.15898e-05
49,1242.18,0.81809,1.44959,0.96339,0.68231,0.67691,0.74142,0.60784,0.71496,1.14326,0.92565,8.2832e-06,8.2832e-06,8.2832e-06
50,1266.97,0.80928,1.44035,0.9648,0.6851,0.68108,0.74426,0.61132,0.71084,1.13772,0.92616,4.9766e-06,4.9766e-06,4.9766e-06
