epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1918.83,0.70516,1.10566,0.00158,0.9847,0.97322,0.99342,0.89835,0.48465,0.18598,0.00122,0.00999714,0.00333238,0.00999714,0.00333238,0.00999714,0.00333238,0.00999714,0.00333238
2,3754.37,0.59934,0.30807,0.00131,0.98539,0.97933,0.99405,0.91794,0.42849,0.16294,0.00107,0.0198982,0.00663272,0.0198982,0.00663272,0.0198982,0.00663272,0.0198982,0.00663272
3,5654.29,0.57385,0.28849,0.00126,0.98806,0.98169,0.99441,0.94325,0.36562,0.1392,0.00091,0.0297002,0.00990006,0.0297002,0.00990006,0.0297002,0.00990006,0.0297002,0.00990006
4,7544.33,0.52926,0.26611,0.00114,0.98899,0.98504,0.9946,0.95514,0.33628,0.12584,0.00083,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,9037.08,0.4847,0.22912,0.00104,0.98996,0.98618,0.99465,0.96373,0.31603,0.11787,0.00077,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,10508.5,0.45737,0.21159,0.00097,0.99002,0.98712,0.99466,0.96961,0.30093,0.11304,0.00073,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,12027.4,0.43982,0.20018,0.00093,0.99328,0.98997,0.99486,0.97301,0.29192,0.105,0.00071,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,13700.7,0.42747,0.19427,0.0009,0.99276,0.99081,0.99485,0.9753,0.28445,0.1031,0.00069,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,15291,0.41849,0.18923,0.00088,0.99263,0.99143,0.99488,0.97725,0.27803,0.10134,0.00067,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,16805.6,0.41154,0.18445,0.00086,0.99383,0.99195,0.99491,0.97888,0.27254,0.09825,0.00066,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,18300.4,0.40621,0.18059,0.00085,0.99421,0.99202,0.99491,0.98019,0.26841,0.09677,0.00065,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,20565,0.4013,0.17846,0.00084,0.99392,0.99284,0.99492,0.981,0.26582,0.09542,0.00064,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,23008.8,0.39892,0.1762,0.00084,0.99429,0.99292,0.99493,0.98189,0.26293,0.09468,0.00063,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,26151.9,0.39938,0.17723,0.00083,0.99467,0.9923,0.99493,0.98228,0.26142,0.09535,0.00063,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
