epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,6241.54,0.3392,0.1982,0.0007,0.99316,0.99224,0.9949,0.98173,0.2616,0.09471,0.00063,0.00999857,0.00333286,0.00999857,0.00333286,0.00999857,0.00333286,0.00999857,0.00333286
2,9485.33,0.3445,0.16289,0.00071,0.99345,0.99193,0.99487,0.98221,0.25994,0.09434,0.00063,0.0198996,0.00663319,0.0198996,0.00663319,0.0198996,0.00663319,0.0198996,0.00663319
3,12844.4,0.37347,0.18011,0.00077,0.99442,0.99279,0.99492,0.98143,0.26358,0.09415,0.00063,0.0297016,0.00990053,0.0297016,0.00990053,0.0297016,0.00990053,0.0297016,0.00990053
4,15978.8,0.39909,0.19609,0.00083,0.99398,0.99332,0.99493,0.98203,0.26173,0.09374,0.00063,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,19189.8,0.39442,0.19109,0.00082,0.99507,0.99345,0.99495,0.983,0.25825,0.09136,0.00062,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,23319.4,0.3906,0.18602,0.00081,0.99536,0.99424,0.99496,0.98382,0.25547,0.08969,0.00061,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,26972.7,0.38777,0.18525,0.00081,0.99592,0.99357,0.99496,0.98412,0.25367,0.08933,0.00061,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,30232.1,0.38642,0.185,0.0008,0.99477,0.99251,0.99493,0.98434,0.25261,0.0922,0.00061,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,34601.6,0.38331,0.18114,0.0008,0.9939,0.99227,0.99488,0.98456,0.25179,0.09353,0.0006,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,40733.2,0.38108,0.17852,0.00079,0.99449,0.99266,0.99489,0.98478,0.25123,0.09227,0.0006,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,44778.1,0.37954,0.17776,0.00079,0.99465,0.99338,0.99491,0.98499,0.25064,0.09113,0.0006,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
