epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2551.35,0.71189,1.23904,0.0016,0.98011,0.96486,0.99185,0.89295,0.49354,0.20541,0.00125,0.00999714,0.00333238,0.00999714,0.00333238,0.00999714,0.00333238,0.00999714,0.00333238
2,5895.89,0.61366,0.35869,0.00134,0.9841,0.97442,0.99364,0.90994,0.45409,0.17346,0.00114,0.0198982,0.00663272,0.0198982,0.00663272,0.0198982,0.00663272,0.0198982,0.00663272
3,8102.22,0.59601,0.33549,0.0013,0.98447,0.97539,0.99379,0.93959,0.37486,0.15303,0.00093,0.0297002,0.00990006,0.0297002,0.00990006,0.0297002,0.00990006,0.0297002,0.00990006
4,9736.75,0.54134,0.30576,0.00116,0.98669,0.98017,0.99424,0.95316,0.34234,0.13622,0.00084,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,11492.7,0.49479,0.27028,0.00106,0.98768,0.98336,0.9945,0.96158,0.31962,0.12444,0.00078,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,12874.1,0.46703,0.24375,0.00099,0.98936,0.98505,0.99462,0.96744,0.30593,0.11771,0.00074,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,16508,0.44699,0.22837,0.00094,0.99096,0.98636,0.99473,0.97173,0.2948,0.11144,0.00072,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,18793.1,0.43305,0.21862,0.00091,0.99109,0.98725,0.99476,0.97477,0.28658,0.10835,0.00069,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,23083.4,0.42445,0.21249,0.00089,0.99301,0.98814,0.99484,0.97699,0.28027,0.1041,0.00068,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,24932.5,0.41559,0.20748,0.00087,0.99225,0.98899,0.99483,0.97812,0.27582,0.10278,0.00066,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,28104.3,0.41143,0.20534,0.00086,0.99265,0.98917,0.99485,0.97948,0.27167,0.10111,0.00065,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,29952.4,0.40731,0.20217,0.00085,0.9936,0.98968,0.99489,0.98033,0.26839,0.09953,0.00065,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
